1,number_of_matches,average,sum,reads_ratio,all_sum,all_ratio,product
gi|158516887|ref|NC_009942.1|_West_Nile_virus__complete_genome,40.0,90.4367816091954,7868.0,0.43478260869565216,12374897.351324338,0.9150221665477137,34.45210727969349
AY083219.1_Trichosporon_beigelii_strain_NCPF_3932_18S_ribosomal_RNA_gene,18.0,75.83870967741936,2351.0,0.1956521739130435,627914.8401122021,0.046429152589733645,13.000921658986178
gi|13357204|ref|NC_002692.1|_Tomato_mosaic_virus__complete_genome,13.0,102.5,2665.0,0.14130434782608695,501787.6358695652,0.037103080266850684,12.690476190476192
EU034726.1_Candida_tropicalis_strain_W103_18S_ribosomal_RNA_gene,6.0,62.833333333333336,377.0,0.06521739130434782,9269.282608695652,0.0006853874269950251,3.5904761904761906
DQ780934.1_Cladosporium_psychrotolerans_strain_EXF_326_18S_ribosomal_RNA_gene_partial_sequence,4.0,64.42857142857143,451.0,0.043478260869565216,5053.4409937888195,0.00037366051575068814,2.4544217687074834
NC_022442_495034_496588,3.0,70.0,420.0,0.03260869565217391,2876.086956521739,0.00021266304223965977,2.0
NC_018485_29898_31371,2.0,70.75,283.0,0.021739130434782608,870.5326086956521,6.436874674955446e-05,1.3476190476190477
GQ111212,1.0,73.0,146.0,0.010869565217391304,115.84782608695652,8.56599661447579e-06,0.6952380952380953
NC_018000_5202139_5203611,1.0,67.0,67.0,0.010869565217391304,48.79347826086956,3.607877538223102e-06,0.6380952380952382
NC_017249_1584400_1585889,1.0,66.0,66.0,0.010869565217391304,47.34782608695652,3.5009834164624266e-06,0.6285714285714287
gi|9627229|ref|NC_001560.1|_Vesicular_stomatitis_Indiana_virus__complete_genome,1.0,66.0,132.0,0.010869565217391304,94.69565217391305,7.001966832924853e-06,0.6285714285714287
L14327,1.0,60.0,120.0,0.010869565217391304,78.26086956521739,5.786749448698226e-06,0.5714285714285715
NC_012590_815373_816888,1.0,54.0,216.0,0.010869565217391304,126.78260869565217,9.374534106891126e-06,0.5142857142857143
