1,number_of_matches,average,sum,reads_ratio,all_sum,all_ratio,product
NC_016946_1637981_1639504,81.0,45.592592592592595,3693.0,0.0166358595194085,226883.99445471348,7.333210545811882e-05,48.59210526315789
NC_021040_348381_351031,75.0,39.94805194805195,3076.0,0.015403573629081947,141959.57462131215,4.588333576345619e-05,39.42241968557758
NC_010407_1297189_1298706,64.0,45.23076923076923,2940.0,0.013144382830149928,111866.86762405802,3.615694863620829e-05,38.08906882591093
NC_012969_74944_76476,46.0,44.7,2235.0,0.00944752515917026,43417.112754158974,1.4033022905943805e-05,27.05526315789474
NC_015635_1855233_1856755,44.0,45.56818181818182,2005.0,0.009036763195728076,36328.01396590676,1.1741726240471448e-05,26.38157894736842
NC_018019_602666_604173,44.0,45.48888888888889,2047.0,0.009036763195728076,37024.46144086169,1.1966827882401637e-05,26.33567251461988
NC_021252_1243922_1245382,43.0,45.372093023255815,1951.0,0.008831382214006983,33615.78209077839,1.0865094663300038e-05,25.671052631578945
DQ673319,42.0,44.214285714285715,1857.0,0.00862600123228589,29746.325323475045,9.61443168723824e-06,24.434210526315788
NC_014151_1209818_1211325,41.0,44.853658536585364,1839.0,0.008420620250564798,28477.872458410355,9.204449839496472e-06,24.19736842105263
NC_009664_2411132_2412643,40.0,44.15,1766.0,0.008215239268843705,25621.326761141918,8.281174000575024e-06,23.236842105263158
NC_015588_1472358_1473867,38.0,45.8421052631579,1742.0,0.00780447730540152,23683.185869788456,7.654739541947783e-06,22.921052631578945
NC_012695_1300726_1302253,37.0,45.525,1821.0,0.007599096323680428,23308.99634935305,7.533796213883407e-06,22.16348684210526
NC_013510_898387_899905,37.0,44.83783783783784,1659.0,0.007599096323680428,20914.848428835492,6.759973854965212e-06,21.82894736842105
NC_008782_1248578_1250099,32.0,44.97142857142857,1574.0,0.006572191415074964,14886.808226975325,4.811626282669522e-06,18.935338345864658
NC_021985_1705872_1707405,32.0,44.4375,1422.0,0.006572191415074964,13289.523105360444,4.29536121396576e-06,18.710526315789473
