1,number_of_matches,average,sum,reads_ratio,all_sum,all_ratio,product
EU034726.1_Candida_tropicalis_strain_W103_18S_ribosomal_RNA_gene,109.0,44.65277777777778,6430.0,0.013614788908318761,426085.6067151026,8.911494417834232e-06,64.04148391812866
AF114470_Candida_albicans_18S_ribosomal_RNA_gene,65.0,45.36986301369863,3312.0,0.008118910816887334,79299.22147430522,1.658527202913431e-06,38.803172314347506
JN606311.1:36-482,52.0,43.6,2616.0,0.006495128653509868,38522.5768673495,8.056919156706334e-07,29.831578947368424
MH161341.1,25.0,43.888888888888886,1185.0,0.0031226580064951286,4060.1059621950203,8.491629627402279e-08,14.437134502923975
NC_010407_1297189_1298706,18.0,45.388888888888886,817.0,0.0022483137646764927,1500.7247064701476,3.138735416931558e-08,10.75
NC_013510_898387_899905,18.0,44.833333333333336,807.0,0.0022483137646764927,1464.2120909318012,3.062370018893585e-08,10.618421052631579
AM883156.1_Aspergillus_versicolor_18S_rRNA_gene,18.0,41.095238095238095,863.0,0.0022483137646764927,1435.2637664608685,3.001825182864693e-08,9.733082706766917
NC_009664_2411132_2412643,15.0,44.93333333333333,674.0,0.0018735948038970773,851.1291531351487,1.7801194355038066e-08,8.868421052631579
NC_016946_1637981_1639504,14.0,45.57142857142857,638.0,0.0017486884836372721,711.7931551336497,1.4887010095291497e-08,8.394736842105262
DQ673319,14.0,44.785714285714285,627.0,0.0017486884836372721,687.4601548838372,1.4378090309037478e-08,8.25
NC_014151_1209818_1211325,12.0,45.07142857142857,631.0,0.0014988758431176618,511.53763248991834,1.0698706280153883e-08,7.116541353383458
NC_021252_1243922_1245382,12.0,44.75,537.0,0.0014988758431176618,432.229328003997,9.039989107886787e-09,7.06578947368421
NC_012695_1300726_1302253,11.0,45.61538461538461,593.0,0.0013739695228578567,408.82346893675896,8.550460292233146e-09,6.6022267206477725
NC_015136_1255249_1256769,11.0,45.09090909090909,496.0,0.0013739695228578567,338.01848613539846,7.069588375780288e-09,6.526315789473684
NC_015635_1855233_1856755,11.0,45.09090909090909,496.0,0.0013739695228578567,338.01848613539846,7.069588375780288e-09,6.526315789473684
NC_017535_606159_607688,10.0,45.72727272727273,503.0,0.0012490632025980515,287.2947562055731,6.008711807791427e-09,6.016746411483253
NC_014391_2546563_2548065,10.0,45.2,452.0,0.0012490632025980515,255.18860854359232,5.337218213173925e-09,5.947368421052631
NC_021040_348381_351031,11.0,40.36363636363637,444.0,0.0013739695228578567,270.8588558581065,5.664958271201155e-09,5.842105263157896
NC_010168_364813_366283,10.0,43.8,438.0,0.0012490632025980515,239.6252810392206,5.0117143613837154e-09,5.763157894736842
NC_017955_186078_187585,9.0,45.77777777777778,412.0,0.0011241568823382464,190.8188858356233,3.990938461994358e-09,5.421052631578947
NC_014976_2221825_2223383,9.0,45.333333333333336,408.0,0.0011241568823382464,187.13165126155386,3.9138206955028095e-09,5.368421052631579
X87758,9.0,42.888888888888886,386.0,0.0011241568823382464,167.49487884086935,3.503121565906962e-09,5.078947368421052
NC_015588_1472358_1473867,8.0,45.77777777777778,412.0,0.0009992505620784412,150.77047769728262,3.153334093427641e-09,4.818713450292398
NC_022582_327975_329522,9.0,40.55555555555556,365.0,0.0011241568823382464,149.76580064951287,3.1323214758648217e-09,4.802631578947368
NC_022793_151033_152220,8.0,45.625,365.0,0.0009992505620784412,133.12515613290034,2.7842857563242863e-09,4.802631578947368
NC_015957_373994_375508,8.0,44.25,354.0,0.0009992505620784412,125.22208343742194,2.6189945868983616e-09,4.657894736842105
OR975919.1,8.0,42.375,339.0,0.0009992505620784412,114.83487384461654,2.4017481959282665e-09,4.4605263157894735
NC_012969_74944_76476,7.0,46.0,322.0,0.0008743442418186361,90.65550836872346,1.896041649944728e-09,4.2368421052631575
NC_022115_542375_543905,8.0,39.75,318.0,0.0009992505620784412,101.04821383962029,2.1134029860952307e-09,4.184210526315789
NC_008782_1248578_1250099,7.0,45.285714285714285,317.0,0.0008743442418186361,87.86197851611291,1.8376155372217097e-09,4.171052631578947
GU017733.1:7-650,7.0,45.0,315.0,0.0008743442418186361,86.75680739445417,1.8145011063979557e-09,4.144736842105263
KF616841.1,7.0,44.857142857142854,314.0,0.0008743442418186361,86.20684486635024,1.8029987511858183e-09,4.131578947368421
NC_014552_622212_623712,7.0,44.5,356.0,0.0008743442418186361,96.95953035223583,2.02788899665301e-09,4.098684210526316
gi|20153336|ref|NC_003624.1|_Impatiens_necrotic_spot_virus_segment_S__complete_sequence,8.0,38.5,308.0,0.0009992505620784412,94.79290532100924,1.982574471667833e-09,4.052631578947368
NC_021191_183865_185368,7.0,42.57142857142857,298.0,0.0008743442418186361,77.64526605046215,1.6239350592347094e-09,3.9210526315789473
