1,number_of_matches,average,sum,reads_ratio,all_sum,all_ratio,product
KT185626.1:2448-3577,24.0,42.416666666666664,1527.0,0.007398273736128237,11500.512946979039,2.1285539490194404e-05,13.394736842105262
NC_016946_1637981_1639504,20.0,45.57142857142857,957.0,0.006165228113440197,5377.54095472961,9.952935219476647e-06,11.992481203007516
NC_012695_1300726_1302253,14.0,45.294117647058826,770.0,0.004315659679408138,2107.209690287952,3.900095176930918e-06,8.343653250773993
NC_015136_1255249_1256769,13.0,44.06666666666667,661.0,0.004007398273736128,1517.4609330045212,2.8085681711074943e-06,7.537719298245614
NC_021252_1243922_1245382,12.0,44.666666666666664,536.0,0.0036991368680641184,1062.747225647349,1.966968616434915e-06,7.052631578947368
DQ673319,12.0,42.25,507.0,0.0036991368680641184,950.8594327990136,1.7598828939002927e-06,6.671052631578947
NC_015588_1472358_1473867,11.0,45.583333333333336,547.0,0.0033908754623921083,930.0320848746404,1.721334931842938e-06,6.597587719298246
NC_013510_898387_899905,11.0,45.54545454545455,501.0,0.0033908754623921083,851.1131319358816,1.5752690566035207e-06,6.592105263157895
NC_021040_348381_351031,12.0,39.0,468.0,0.0036991368680641184,810.1997533908755,1.4995451877020244e-06,6.157894736842105
NC_018019_602666_604173,10.0,45.46153846153846,591.0,0.0030826140567200987,828.2296310348098,1.5329154968667255e-06,5.981781376518218
EU034726.1_Candida_tropicalis_strain_W103_18S_ribosomal_RNA_gene,11.0,39.916666666666664,479.0,0.0033908754623921083,713.1720355528154,1.319962996089608e-06,5.777412280701753
AY083219.1_Trichosporon_beigelii_strain_NCPF_3932_18S_ribosomal_RNA_gene,10.0,38.3,383.0,0.0030826140567200987,452.18557336621456,8.369203985210992e-07,5.039473684210526
NC_014391_2546563_2548065,8.0,45.5,364.0,0.002466091245376079,326.74722564734896,6.047548493613103e-07,4.789473684210526
NC_010407_1297189_1298706,8.0,44.75,358.0,0.002466091245376079,316.06411837237977,5.849821920174418e-07,4.7105263157894735
gi|543145307|ref|NC_022332.1|_Eel_picornavirus_1_strain_F15_05__complete_genome,9.0,38.44444444444444,346.0,0.0027743526510480886,332.134401972873,6.147256180519106e-07,4.552631578947368
NC_021191_183865_185368,8.0,42.25,338.0,0.002466091245376079,281.7361282367448,5.214467833778646e-07,4.447368421052631
NC_014976_2221825_2223383,7.0,44.857142857142854,314.0,0.002157829839704069,212.75339087546237,3.937711929920471e-07,4.131578947368421
DQ780934.1_Cladosporium_psychrotolerans_strain_EXF_326_18S_ribosomal_RNA_gene_partial_sequence,7.0,40.42857142857143,283.0,0.002157829839704069,172.81843403205917,3.198582201665388e-07,3.7236842105263155
NC_021018_3070260_3072809,7.0,39.57142857142857,277.0,0.002157829839704069,165.5681257706535,3.064391036866281e-07,3.644736842105263
NC_017955_186078_187585,6.0,45.666666666666664,274.0,0.0018495684340320592,138.85819975339086,2.570034665422903e-07,3.6052631578947367
NC_017535_606159_607688,6.0,45.5,273.0,0.0018495684340320592,137.84648581997533,2.5513095207430273e-07,3.5921052631578947
NC_012969_74944_76476,6.0,45.42857142857143,318.0,0.0018495684340320592,160.3163642769068,2.967189653603118e-07,3.5864661654135332
NC_007510_26071_27600,6.0,45.333333333333336,272.0,0.0018495684340320592,136.83847102342787,2.532652840943152e-07,3.578947368421052
NC_013159_564225_565751,6.0,43.166666666666664,259.0,0.0018495684340320592,124.07090012330457,2.296346307624724e-07,3.407894736842105
NC_018690_284015_285558,6.0,39.5,237.0,0.0018495684340320592,103.88840937114674,1.9228019223472088e-07,3.1184210526315788
NC_021009_505857_508732,6.0,38.5,231.0,0.0018495684340320592,98.69482120838471,1.8266772308278482e-07,3.039473684210526
gi|170676271|ref|NC_010490.1|_Tomato_zonate_spot_virus_segment_M__complete_sequence,6.0,38.333333333333336,230.0,0.0018495684340320592,97.84217016029594,1.8108960759879532e-07,3.026315789473684
NC_022793_151033_152220,5.0,45.8,229.0,0.0015413070283600493,80.82768187422934,1.4959861550233815e-07,3.013157894736842
NC_013595_2067480_2068992,5.0,45.6,228.0,0.0015413070283600493,80.1233045622688,1.4829493007901349e-07,3.0
NC_010168_364813_366283,5.0,45.4,227.0,0.0015413070283600493,79.42200986436498,1.4699695006235545e-07,2.9868421052631575
NC_007777_3751629_3753140,5.0,44.8,224.0,0.0015413070283600493,77.33662145499383,1.4313724245238113e-07,2.9473684210526314
NC_009664_2411132_2412643,5.0,44.2,221.0,0.0015413070283600493,75.27897657213317,1.3932888350240646e-07,2.9078947368421053
NC_015957_373994_375508,5.0,44.0,220.0,0.0015413070283600493,74.59926017262639,1.3807084133241482e-07,2.894736842105263
X87758,5.0,43.0,215.0,0.0015413070283600493,71.24691738594328,1.3186621158245611e-07,2.8289473684210527
NC_007333_2390559_2392029,5.0,42.8,214.0,0.0015413070283600493,70.58569667077683,1.3064240185246427e-07,2.81578947368421
NC_021915_787727_789261,5.0,42.8,214.0,0.0015413070283600493,70.58569667077683,1.3064240185246427e-07,2.81578947368421
NC_022582_327975_329522,5.0,41.2,206.0,0.0015413070283600493,65.40690505548706,1.2105731865252802e-07,2.7105263157894735
AF526429.1,5.0,41.0,205.0,0.0015413070283600493,64.77342786683107,1.1988485758253582e-07,2.6973684210526314
KP893281.1_Aspergillus_flavus_18S_ribosomal_RNA_gene,5.0,40.0,240.0,0.0015413070283600493,73.98273736128237,1.369297599990891e-07,2.631578947368421
gi|332290587|ref|NC_015467.1|_Groundnut_ringspot_and_Tomato_chlorotic_spot_virus_reassortant_segment_S__complete_genome,5.0,38.4,192.0,0.0015413070283600493,56.81874229346486,1.0516205567930043e-07,2.526315789473684
NC_017511_1177616_1179168,4.0,46.0,184.0,0.0012330456226880395,41.745992601726265,7.726489924215268e-08,2.4210526315789473
NC_008596_3823615_3825142,4.0,45.5,182.0,0.0012330456226880395,40.84340320591862,7.559435617016379e-08,2.394736842105263
NC_014151_1209818_1211325,4.0,45.5,182.0,0.0012330456226880395,40.84340320591862,7.559435617016379e-08,2.394736842105263
NC_017217_1480405_1481953,4.0,44.75,179.0,0.0012330456226880395,39.50801479654747,7.312277400218022e-08,2.3552631578947367
NC_017857_2362913_2364402,4.0,42.5,170.0,0.0012330456226880395,35.63501849568434,6.595450106622792e-08,2.236842105263158
NC_015722_197315_198823,4.0,42.2,211.0,0.0012330456226880395,43.917139334155365,8.12833312655926e-08,2.2210526315789476
NC_014218_493741_495258,4.0,41.75,167.0,0.0012330456226880395,34.388409371146736,6.364723461024326e-08,2.1973684210526314
AF526430.1,4.0,41.2,206.0,0.0012330456226880395,41.86041923551172,7.747668393761795e-08,2.168421052631579
AH001732.1_SEG_PMCRGEA0_Pneumocystis_carinii_partial_18S_ribosomal_RNA,4.0,39.5,158.0,0.0012330456226880395,30.781750924784216,5.6971908810287665e-08,2.0789473684210527
gi|482677387|ref|NC_021148.1|_Dill_cryptic_virus_2_isolate_IPP_hortorum_segment_RNA_2__complete_sequence,4.0,38.75,155.0,0.0012330456226880395,29.62392108508015,5.482895806630193e-08,2.039473684210526
NC_017038_2449904_2451392,4.0,38.25,153.0,0.0012330456226880395,28.864364981504316,5.342314586364461e-08,2.013157894736842
NC_004551_680284_681809,3.0,46.0,138.0,0.0009247842170160296,17.611590628853268,3.2596129367783156e-08,1.8157894736842104
